Diff_Accel_X,Diff_Accel_Y,Diff_Accel_Z,Magnitude_Accel,Magnitude_Gyro,Diff_Mag_Gyro,Diff_Mag_Accel,Is_High_Accel,Is_High_Accel_2,Is_High_Accel_3
0.00045,5e-05,0.0019,0.619928023,0.223606798,0.123108042,0.357135585,1,0,1
0.0017,0.0024,0.00175,1.043855403,1.024890238,0.80128344,0.42392738,1,1,1
0.0007,0.00295,0.002,0.611037412,0.454862617,0.570027621,0.432817991,1,0,1
0.01325,0.0035,0.0047,1.356531719,0.797307971,0.342445354,0.745494307,1,1,1
0.01425,0.004,0.00085,1.405703905,0.147309199,0.649998772,0.049172186,1,1,1
0.00025,0.0001,0.002,1.004346348,0.100995049,0.046314149,0.401357557,1,1,1
0.0,5e-05,0.0001,0.984776307,0.100498756,0.000496293,0.01957004,0,1,0
5e-05,5e-05,0.0001,0.967385941,0.100995049,0.000496293,0.017390366,0,1,0
0.0,0.0,0.0,0.967385941,0.100498756,0.000496293,0.0,0,1,0
0.0006,0.01705,0.0048,2.408067005,1.060235823,0.959737067,1.440681064,1,1,1
0.0025,0.01765,0.0042,1.01022664,0.561159514,0.499076309,1.397840365,1,1,1
0.0059,0.0042,0.00045,1.21940561,2.664732632,2.103573118,0.20917897,1,1,1
0.0048,0.00465,0.0002,0.926602444,0.104880885,2.559851747,0.292803166,1,0,1
0.0005,0.0003,5e-05,0.955970435,0.092736185,0.0121447,0.029367991,1,0,1
5e-05,0.00015,0.00015,0.98371921,0.102956301,0.010220116,0.027748775,0,1,1
0.00125,5e-05,0.0,1.03929887,0.123693169,0.020736867,0.05557966,1,1,1
0.00075,0.0005,0.00075,1.223039508,0.339705755,0.216012586,0.183740638,1,1,1
0.00145,0.00185,0.0014,0.900869124,1.254511857,0.914806102,0.322170385,1,0,1
0.00065,0.00295,0.00065,0.977945073,0.226495033,1.028016824,0.07707595,1,1,1
0.0005,0.00065,0.0001,0.981734554,0.092736185,0.133758848,0.003789481,1,1,0
5e-05,0.00015,0.0001,0.959442365,0.377888873,0.285152688,0.02229219,0,1,1
0.0057,0.003,0.00125,1.024162785,0.408411557,0.030522685,0.06472042,1,1,1
0.0064,0.0032,0.00125,0.991570785,0.067082039,0.341329518,0.032592001,1,1,1
0.00115,0.00015,0.0003,0.999083294,0.197230829,0.13014879,0.00751251,1,1,0
0.0013,0.0002,0.00015,1.027903768,0.345543051,0.148312222,0.028820473,1,1,1
0.0013,0.00075,0.0,0.968166046,0.104880885,0.240662166,0.059737721,1,1,1
0.00085,0.0004,5e-05,1.015747778,0.210475652,0.105594767,0.047581732,1,1,1
0.0026,0.00195,0.0006,1.041812579,0.324499615,0.114023963,0.026064801,1,1,1
0.0056,0.0008,0.0018,1.140242228,0.134907376,0.189592239,0.098429649,1,1,1
0.0028,0.0004,0.00155,0.942169241,0.467867503,0.332960127,0.198072987,1,0,1
0.00085,0.0009,0.0008,1.05833781,0.224722051,0.243145452,0.116168569,1,1,1
0.0014,0.00055,0.00065,0.991278886,0.607618301,0.382896251,0.067058924,1,1,1
0.00255,0.00055,0.00065,0.996267874,0.813449445,0.205831144,0.004988987,1,1,0
0.0016,0.0,0.00045,0.998911982,0.225831796,0.587617649,0.002644109,1,1,0
0.001,0.0004,0.00025,0.903803062,0.126885775,0.09894602,0.09510892,1,0,1
0.00055,0.00035,0.0,0.880589871,0.121655251,0.005230525,0.023213191,1,0,1
5e-05,0.0,0.0004,0.960785287,0.090553851,0.031101399,0.080195416,1,1,1
0.00045,0.0,0.00015,0.951860304,0.100498756,0.009944905,0.008924983,1,0,0
0.00345,0.00415,0.0008,1.03293589,1.812125823,1.711627067,0.081075586,1,1,1
0.0022,0.0037,0.00105,1.063268385,1.712337584,0.09978824,0.030332495,1,1,1
0.00295,0.0034,5e-05,0.917788951,1.556181223,0.15615636,0.145479434,1,0,1
0.00275,0.00025,0.00035,0.974177463,0.137477271,1.418703953,0.056388512,1,1,1
0.0002,0.00065,0.0,0.980881226,0.09539392,0.042083351,0.006703763,1,1,0
0.0005,0.0008,5e-05,0.97009285,0.552268051,0.456874131,0.010788375,1,1,0
0.0015,0.0019,0.0005,0.944398541,0.686512928,0.134244877,0.025694309,1,0,1
0.0008,0.0005,0.00085,1.066913085,0.12083046,0.565682468,0.122514545,1,1,1
0.0003,0.00095,0.0005,0.989369768,0.29189039,0.171059931,0.077543317,1,1,1
0.00055,0.0008,0.00065,1.09253414,0.188414437,0.103475954,0.103164372,1,1,1
0.0004,0.0026,0.0004,1.025862552,0.147986486,0.040427951,0.066671588,1,1,1
0.00085,0.0008,0.0001,1.004776721,0.155241747,0.007255261,0.021085831,1,1,0
