Serial No,Time(ms),Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Temp(C),Diff_Accel_X,Diff_Accel_Y,Diff_Accel_Z,Diff_Gyro_X,Diff_Gyro_Y,Diff_Gyro_Z,Diff_Mag_Gyro,Diff_Mag_Accel,Magnitude_Accel,Magnitude_Gyro,Column 1,Column 2,ON/ OFF signal from Acclerometer,ON/OFF signal from Gyro,First Input,Final Output
1,443,-1.63,-1.25,10.4,0.18,-0.1,3.07,33.15,,,,,,,,,0.800915055,3.076897788,0,0,1,1,1,
2,647,1.7,-0.34,10.64,-0.1,0,-0.01,33.16,0.01665,0.00455,0.0012,0.0014,0.0005,0.0154,2.976399032,0.179400339,0.980315394,0.100498756,1,1,1,1,1,
3,851,1.95,-0.24,10.63,-0.09,0.04,-0.08,33.18,0.00125,0.0005,5E-05,0.00005,0.0002,0.00035,0.026387019,0.029726234,1.010041628,0.126885775,1,1,1,1,1,
4,1055,0.38,-0.84,10.68,-0.26,-0.02,-1.94,33.18,0.00785,0.003,0.00025,0.00085,0.0003,0.0093,1.830561542,0.090321482,0.919720146,1.957447317,1,1,1,1,1,
5,1259,3.88,-0.23,11.03,-0.06,0.07,0.29,33.18,0.0175,0.00305,0.00175,0.001,0.00045,0.01115,1.653144836,0.975073568,1.894793713,0.304302481,1,1,1,1,1,
6,1463,4.67,-0.06,10.74,-0.31,-0.12,-1.97,33.19,0.00395,0.00085,0.00145,0.00125,0.00095,0.0113,1.693546362,0.016743333,1.911537047,1.997848843,1,1,1,1,1,
7,1667,-4.06,0.48,11.23,-0.13,0.32,-0.35,33.19,0.04365,0.0027,0.00245,0.0009,0.0022,0.0081,1.506117209,0.23948383,2.151020877,0.491731634,1,1,1,1,1,
8,1871,-0.9,-1.49,10.98,0.1,-0.12,0.85,33.19,0.0158,0.00985,0.00125,0.00115,0.0022,0.006,0.372502131,0.83389445,1.317126427,0.864233765,1,1,1,1,1,
9,2075,7.2,-1.86,10.47,0.07,0.23,1.55,33.2,0.0405,0.00185,0.00255,0.00015,0.00175,0.0035,0.704300583,1.725011245,3.042137673,1.568534348,1,1,1,1,1,
10,2279,5.65,-1.33,10.41,-0.27,-0.19,-0.5,33.2,0.00775,0.00265,0.0003,0.0017,0.0021,0.01025,0.969368261,0.923266082,2.118871591,0.599166087,1,1,1,1,1,
11,2483,-2.7,2.58,11.23,-0.08,0.05,-0.37,33.2,0.04175,0.01955,0.0041,0.00095,0.0012,0.00065,0.217328425,0.084206408,2.034665183,0.381837662,1,1,1,1,1,1
12,2687,-0.48,0.16,10.85,0.07,-0.09,1.07,33.21,0.0111,0.0121,0.0019,0.00075,0.0007,0.0072,0.694219957,0.972874355,1.061790828,1.076057619,1,1,1,1,1,
13,2891,3.61,-2.35,10.62,-0.01,-0.11,0.69,33.22,0.02045,0.01255,0.00115,0.0004,0.0001,0.0019,0.37727296,0.598532029,1.660322858,0.698784659,1,1,1,1,1,
14,3095,2.7,-2.33,10.76,-0.35,-0.13,-1.72,33.2,0.00455,0.0001,0.0007,0.0017,0.0001,0.01205,1.061272158,0.124693188,1.535629669,1.760056817,1,1,1,1,1,
15,3299,-1.01,2.99,9.96,-0.13,0.02,-0.38,33.2,0.01855,0.0266,0.004,0.0011,0.00075,0.0067,1.357937432,0.887577219,0.64805245,0.402119385,1,1,1,1,1,
16,3503,0.72,0.18,10.83,0.11,-0.1,0.77,33.22,0.00865,0.01405,0.00435,0.0012,0.0006,0.00575,0.382099972,0.407347128,1.055399578,0.784219357,1,1,1,1,1,
17,3707,3.16,-2.03,11.02,-0.08,0.08,0.3,33.21,0.0122,0.01105,0.00095,0.00095,0.0009,0.00235,0.463594966,0.787061502,1.84246108,0.320624391,1,1,1,1,1,
18,3911,2.4,-1.97,10.67,-0.21,0.06,-0.74,33.22,0.0038,0.0003,0.00175,0.00065,0.0001,0.0052,0.450932477,0.529864624,1.312596456,0.771556868,1,1,1,1,1,
